Region,Month,For-Sale Property Type,Average Monthly Rent,Average Rent YoY,"Monthly mortgage, 5% down","Monthly mortgage, 5% down YoY","Monthly mortgage, 20% down","Monthly mortgage, 20% down YoY",Median sale price,Median sale price YoY
"Anaheim, CA",Jun-22,All Residential,"$3,438 ",7.80%,"$5,514 ",51.70%,"$4,643 ",51.70%,"$1,020,000 ",12.10%
"Anaheim, CA",Jun-22,Condo/Co-op,"$3,438 ",7.80%,"$3,663 ",66.70%,"$3,084 ",66.70%,"$677,500 ",23.20%
"Anaheim, CA",Jun-22,Multi-Family (2-4 Unit),"$3,438 ",7.80%,"$8,109 ",31.40%,"$6,829 ",31.40%,"$1,500,000 ",-2.90%
"Anaheim, CA",Jun-22,Single Family Residential,"$3,438 ",7.80%,"$6,757 ",52.40%,"$5,690 ",52.40%,"$1,250,000 ",12.60%
"Anaheim, CA",Jun-22,Townhouse,"$3,438 ",7.80%,"$4,211 ",55.00%,"$3,546 ",55.00%,"$779,000 ",14.60%
"Atlanta, GA",Jun-22,All Residential,"$2,141 ",13.90%,"$2,162 ",60.10%,"$1,821 ",60.10%,"$400,000 ",18.30%
"Atlanta, GA",Jun-22,Condo/Co-op,"$2,141 ",13.90%,"$1,595 ",62.90%,"$1,343 ",62.90%,"$295,000 ",20.40%
"Atlanta, GA",Jun-22,Multi-Family (2-4 Unit),"$2,141 ",13.90%,"$1,854 ",43.90%,"$1,561 ",43.90%,"$343,000 ",6.40%
"Atlanta, GA",Jun-22,Single Family Residential,"$2,141 ",13.90%,"$2,243 ",60.40%,"$1,889 ",60.40%,"$415,000 ",18.60%
"Atlanta, GA",Jun-22,Townhouse,"$2,141 ",13.90%,"$1,892 ",48.70%,"$1,593 ",48.70%,"$350,000 ",9.90%
"Austin, TX",Jun-22,All Residential,"$2,505 ",32.10%,"$2,897 ",51.10%,"$2,440 ",51.10%,"$535,958 ",11.70%
"Austin, TX",Jun-22,Condo/Co-op,"$2,505 ",32.10%,"$2,427 ",52.70%,"$2,044 ",52.70%,"$449,000 ",12.80%
"Austin, TX",Jun-22,Multi-Family (2-4 Unit),"$2,505 ",32.10%,"$3,244 ",42.40%,"$2,731 ",42.40%,"$600,000 ",5.20%
"Austin, TX",Jun-22,Single Family Residential,"$2,505 ",32.10%,"$2,958 ",51.10%,"$2,491 ",51.10%,"$547,113 ",11.70%
"Austin, TX",Jun-22,Townhouse,"$2,505 ",32.10%,"$2,284 ",72.60%,"$1,923 ",72.60%,"$422,495 ",27.60%
"Baltimore, MD",Jun-22,All Residential,"$2,121 ",4.90%,"$2,027 ",44.80%,"$1,707 ",44.80%,"$375,000 ",7.00%
"Baltimore, MD",Jun-22,Condo/Co-op,"$2,121 ",4.90%,"$1,351 ",49.70%,"$1,138 ",49.70%,"$250,000 ",10.60%
"Baltimore, MD",Jun-22,Multi-Family (2-4 Unit),"$2,121 ",4.90%,"$1,487 ",77.00%,"$1,252 ",77.00%,"$275,000 ",30.80%
"Baltimore, MD",Jun-22,Single Family Residential,"$2,121 ",4.90%,"$2,634 ",48.20%,"$2,218 ",48.20%,"$487,295 ",9.50%
"Baltimore, MD",Jun-22,Townhouse,"$2,121 ",4.90%,"$1,622 ",47.60%,"$1,366 ",47.60%,"$300,000 ",9.10%
"Boston, MA",Jun-22,All Residential,"$4,031 ",17.20%,"$3,811 ",46.80%,"$3,209 ",46.80%,"$705,000 ",8.50%
"Boston, MA",Jun-22,Condo/Co-op,"$4,031 ",17.20%,"$3,297 ",46.60%,"$2,776 ",46.60%,"$609,900 ",8.30%
"Boston, MA",Jun-22,Multi-Family (2-4 Unit),"$4,031 ",17.20%,"$4,423 ",47.60%,"$3,725 ",47.60%,"$818,250 ",9.10%
"Boston, MA",Jun-22,Single Family Residential,"$4,031 ",17.20%,"$4,000 ",45.10%,"$3,369 ",45.10%,"$740,000 ",7.20%
"Boston, MA",Jun-22,Townhouse,"$4,031 ",17.20%,"$3,250 ",50.90%,"$2,737 ",50.90%,"$601,250 ",11.50%
"Charlotte, NC",Jun-22,All Residential,"$1,854 ",7.00%,"$2,216 ",63.20%,"$1,866 ",63.20%,"$410,000 ",20.60%
"Charlotte, NC",Jun-22,Condo/Co-op,"$1,854 ",7.00%,"$1,681 ",61.90%,"$1,416 ",61.90%,"$311,000 ",19.60%
"Charlotte, NC",Jun-22,Multi-Family (2-4 Unit),"$1,854 ",7.00%,"$1,946 ",151.80%,"$1,639 ",151.80%,"$360,000 ",86.10%
"Charlotte, NC",Jun-22,Single Family Residential,"$1,854 ",7.00%,"$2,313 ",64.00%,"$1,948 ",64.00%,"$427,900 ",21.20%
"Charlotte, NC",Jun-22,Townhouse,"$1,854 ",7.00%,"$2,019 ",79.30%,"$1,701 ",79.30%,"$373,568 ",32.50%
"Chicago, IL",Jun-22,All Residential,"$2,509 ",8.40%,"$1,838 ",43.80%,"$1,548 ",43.80%,"$340,000 ",6.30%
